Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	1316	1316
OG0000001	733	733
OG0000002	736	736
OG0000003	487	447
OG0000004	327	327
OG0000005	348	336
OG0000006	327	293
OG0000007	347	333
OG0000008	267	230
OG0000009	263	237
OG0000010	300	300
OG0000011	287	287
OG0000012	294	291
OG0000013	236	219
OG0000014	245	232
OG0000015	250	239
OG0000016	200	194
OG0000017	192	183
OG0000018	186	171
OG0000019	234	227
OG0000020	212	196
OG0000021	205	199
OG0000022	221	217
OG0000023	217	192
OG0000024	164	156
OG0000025	196	182
OG0000026	197	187
OG0000027	207	207
OG0000028	196	194
OG0000029	173	167
OG0000030	153	146
OG0000031	183	163
OG0000032	164	151
OG0000033	171	162
OG0000034	183	183
OG0000035	177	170
OG0000036	161	157
OG0000037	174	174
OG0000038	176	171
OG0000039	160	155
OG0000040	130	113
OG0000041	169	169
OG0000042	167	156
OG0000043	166	162
OG0000044	144	142
OG0000045	157	156
OG0000046	128	114
OG0000047	103	89
OG0000048	131	119
OG0000049	141	136
OG0000050	73	64
OG0000051	101	81
OG0000052	85	72
OG0000053	137	128
OG0000054	141	140
OG0000055	118	101
OG0000056	140	140
OG0000057	118	108
OG0000058	97	97
OG0000059	151	151
OG0000060	124	121
OG0000061	126	123
OG0000062	125	111
OG0000063	111	106
OG0000064	122	122
OG0000065	146	146
OG0000066	124	112
OG0000067	109	95
OG0000068	109	107
OG0000069	131	127
OG0000070	140	140
OG0000071	106	106
OG0000072	133	119
OG0000073	114	98
OG0000074	129	117
OG0000075	121	115
OG0000076	125	111
OG0000077	133	130
OG0000078	139	133
OG0000079	124	116
OG0000080	106	95
OG0000081	115	111
OG0000082	111	100
OG0000083	117	105
OG0000084	125	104
OG0000085	115	106
OG0000086	109	109
OG0000087	106	104
OG0000088	120	114
OG0000089	119	112
OG0000090	104	99
OG0000091	96	86
OG0000092	120	111
OG0000093	122	109
OG0000094	100	87
OG0000095	133	133
OG0000096	115	107
OG0000097	114	109
OG0000098	105	105
OG0000099	104	86
OG0000100	115	102
OG0000101	110	108
OG0000102	113	103
OG0000103	58	56
OG0000104	100	95
OG0000105	127	119
OG0000106	114	100
OG0000107	110	101
OG0000108	106	102
OG0000109	91	89
OG0000110	98	92
OG0000111	124	119
OG0000112	91	86
OG0000113	91	85
OG0000114	117	116
OG0000115	117	94
OG0000116	118	112
OG0000117	106	89
OG0000118	99	93
OG0000119	114	95
OG0000120	116	108
OG0000121	113	107
OG0000122	106	91
OG0000123	99	92
