Orthogroup	SP803280_proteinas	Saccharum_officinarum_LA_Purple.protein	Saccharum_spontaneum_AP85-441.protein	Saccharum_spontaneum_NpX.protein	sorgo_proteinas	Total
OG0000000	1880	0	0	0	0	1880
OG0000001	10	775	1	2	0	788
OG0000002	3	743	0	2	0	748
OG0000003	32	435	2	54	1	524
OG0000004	464	0	0	0	0	464
OG0000005	62	301	26	3	0	392
OG0000006	352	10	19	1	0	382
OG0000007	10	334	0	37	0	381
OG0000008	52	173	7	98	0	330
OG0000009	95	80	147	2	0	324
OG0000010	13	300	0	1	0	314
OG0000011	18	283	0	2	0	303
OG0000012	0	297	0	4	0	301
OG0000013	108	163	7	14	0	292
OG0000014	219	30	3	30	1	283
OG0000015	135	110	3	25	1	274
OG0000016	94	136	5	13	0	248
OG0000017	128	88	2	26	1	245
OG0000018	142	49	6	47	1	245
OG0000019	11	227	1	5	0	244
OG0000020	61	166	5	10	0	242
OG0000021	25	204	6	3	0	238
OG0000022	174	8	3	2	50	237
OG0000023	10	21	1	197	0	229
OG0000024	36	150	5	22	0	213
OG0000025	93	3	23	0	93	212
OG0000026	18	181	1	11	0	211
OG0000027	209	0	0	0	0	209
OG0000028	0	197	0	5	0	202
OG0000029	134	9	11	39	7	200
OG0000030	98	73	1	27	1	200
OG0000031	18	175	2	5	0	200
OG0000032	26	78	3	89	2	198
OG0000033	44	133	10	8	0	195
OG0000034	58	136	1	0	0	195
OG0000035	167	11	2	14	0	194
OG0000036	87	86	6	12	1	192
OG0000037	178	14	0	0	0	192
OG0000038	156	10	5	0	19	190
OG0000039	143	21	4	20	1	189
OG0000040	103	22	1	60	1	187
OG0000041	179	0	1	1	0	181
OG0000042	166	7	1	6	1	181
OG0000043	159	14	2	3	1	179
OG0000044	82	87	3	5	1	178
OG0000045	145	15	0	16	0	176
OG0000046	113	27	8	25	1	174
OG0000047	80	37	2	54	0	173
OG0000048	77	60	2	29	0	168
OG0000049	139	24	1	4	0	168
OG0000050	61	42	13	34	17	167
OG0000051	95	27	17	28	0	167
OG0000052	133	10	8	13	0	164
OG0000053	78	73	2	11	0	164
OG0000054	140	14	3	6	1	164
OG0000055	74	71	3	11	0	159
OG0000056	159	0	0	0	0	159
OG0000057	135	11	2	8	2	158
OG0000058	158	0	0	0	0	158
OG0000059	0	155	0	2	0	157
OG0000060	49	90	4	10	1	154
OG0000061	116	23	3	11	1	154
OG0000062	69	69	9	7	0	154
OG0000063	102	32	2	16	0	152
OG0000064	79	63	4	6	0	152
OG0000065	143	5	2	2	0	152
OG0000066	115	16	4	14	2	151
OG0000067	47	45	5	53	0	150
OG0000068	86	48	5	8	3	150
OG0000069	122	13	4	10	1	150
OG0000070	31	116	0	1	0	148
OG0000071	51	93	2	2	0	148
OG0000072	10	32	0	106	0	148
OG0000073	59	22	6	60	1	148
OG0000074	40	102	5	0	0	147
OG0000075	100	26	4	15	1	146
OG0000076	120	14	1	9	1	145
OG0000077	115	17	2	10	1	145
OG0000078	0	3	2	140	0	145
OG0000079	125	6	0	13	0	144
OG0000080	101	16	1	22	4	144
OG0000081	82	49	1	11	0	143
OG0000082	110	17	4	11	1	143
OG0000083	85	36	4	16	1	142
OG0000084	113	16	2	10	1	142
OG0000085	79	48	7	6	0	140
OG0000086	35	105	0	0	0	140
OG0000087	66	63	6	4	0	139
OG0000088	109	8	1	20	1	139
OG0000089	42	86	2	7	2	139
OG0000090	109	18	2	9	1	139
OG0000091	81	21	11	24	1	138
OG0000092	99	8	4	27	0	138
OG0000093	10	112	2	13	0	137
OG0000094	79	40	3	13	1	136
OG0000095	136	0	0	0	0	136
OG0000096	72	34	0	30	0	136
OG0000097	116	17	1	2	0	136
OG0000098	35	64	2	34	0	135
OG0000099	70	30	2	32	1	135
OG0000100	100	23	3	8	1	135
OG0000101	104	8	2	19	1	134
OG0000102	121	6	2	4	1	134
OG0000103	127	2	1	4	0	134
OG0000104	70	53	1	10	0	134
OG0000105	124	4	1	4	1	134
OG0000106	96	14	7	16	1	134
OG0000107	110	13	4	5	1	133
OG0000108	93	26	3	10	1	133
OG0000109	61	65	0	7	0	133
OG0000110	43	68	7	15	0	133
OG0000111	8	122	3	0	0	133
OG0000112	78	34	10	9	1	132
OG0000113	72	51	3	6	0	132
OG0000114	119	8	2	3	0	132
OG0000115	111	5	15	0	0	131
OG0000116	113	10	1	6	1	131
OG0000117	98	18	6	7	1	130
OG0000118	58	64	1	7	0	130
OG0000119	10	97	5	17	1	130
OG0000120	111	13	1	4	1	130
OG0000121	113	7	3	6	1	130
OG0000122	38	87	1	3	0	129
OG0000123	63	50	1	14	0	128
OG0000124	29	71	1	27	0	128
OG0000125	89	25	7	6	1	128
OG0000126	90	11	6	20	1	128
OG0000127	30	65	1	30	1	127
OG0000128	110	10	2	4	1	127
OG0000129	108	11	1	6	1	127
OG0000130	104	12	2	7	1	126
OG0000131	64	29	6	27	0	126
OG0000132	111	6	1	7	1	126
OG0000133	91	22	4	8	1	126
OG0000134	1	121	0	4	0	126
OG0000135	90	24	1	9	1	125
OG0000136	93	20	3	8	1	125
OG0000137	124	0	0	0	0	124
OG0000138	94	28	2	0	0	124
OG0000139	104	9	7	3	1	124
OG0000140	76	22	11	13	1	123
OG0000141	47	64	2	9	1	123
OG0000142	108	10	1	4	0	123
OG0000143	108	8	1	5	1	123
OG0000144	99	3	6	14	1	123
OG0000145	94	12	3	14	0	123
OG0000146	117	2	0	2	2	123
OG0000147	68	43	2	8	1	122
OG0000148	100	14	5	2	1	122
OG0000149	60	26	0	35	0	121
OG0000150	85	29	2	4	1	121
OG0000151	83	19	3	15	1	121
OG0000152	94	15	4	7	1	121
OG0000153	60	52	3	5	0	120
OG0000154	120	0	0	0	0	120
OG0000155	100	13	1	5	1	120
OG0000156	78	17	6	18	1	120
OG0000157	49	62	1	7	0	119
OG0000158	85	15	8	10	1	119
OG0000159	84	21	2	11	1	119
OG0000160	86	16	4	12	1	119
OG0000161	92	14	0	0	12	118
OG0000162	91	2	3	21	1	118
OG0000163	68	22	2	25	1	118
OG0000164	18	3	11	85	1	118
OG0000165	99	14	0	4	1	118
OG0000166	78	23	2	11	3	117
OG0000167	79	27	1	9	1	117
OG0000168	91	12	2	11	1	117
OG0000169	106	8	2	1	0	117
OG0000170	41	17	1	58	0	117
OG0000171	82	13	4	17	1	117
OG0000172	111	2	0	3	0	116
OG0000173	41	64	2	9	0	116
OG0000174	92	11	10	1	1	115
OG0000175	87	4	1	22	1	115
OG0000176	115	0	0	0	0	115
OG0000177	63	22	1	29	0	115
OG0000178	85	18	1	10	1	115
OG0000179	92	13	1	8	1	115
OG0000180	75	27	2	9	2	115
OG0000181	66	10	6	31	1	114
OG0000182	87	15	7	4	1	114
OG0000183	102	5	4	2	1	114
OG0000184	38	60	6	9	1	114
OG0000185	95	13	2	3	1	114
OG0000186	94	16	2	2	0	114
OG0000187	89	6	5	13	1	114
OG0000188	103	8	0	3	0	114
OG0000189	35	53	11	14	0	113
OG0000190	99	8	2	3	1	113
OG0000191	105	4	3	1	0	113
OG0000192	41	48	3	20	0	112
OG0000193	97	14	0	1	0	112
OG0000194	43	45	5	18	1	112
OG0000195	103	7	0	2	0	112
OG0000196	65	43	1	2	0	111
OG0000197	90	10	3	7	1	111
OG0000198	35	68	1	5	1	110
OG0000199	94	9	2	4	1	110
OG0000200	85	7	7	11	0	110
OG0000201	83	17	8	0	1	109
OG0000202	82	12	1	12	2	109
OG0000203	77	29	0	3	0	109
OG0000204	44	62	0	3	0	109
OG0000205	108	1	0	0	0	109
OG0000206	64	18	5	22	0	109
OG0000207	81	19	0	8	1	109
OG0000208	48	42	4	13	1	108
OG0000209	71	21	4	11	1	108
OG0000210	81	15	1	10	1	108
OG0000211	85	9	4	8	2	108
OG0000212	68	17	5	17	1	108
OG0000213	107	0	0	0	0	107
OG0000214	70	28	1	8	0	107
OG0000215	44	60	2	1	0	107
OG0000216	40	61	2	4	0	107
OG0000217	96	1	4	4	2	107
OG0000218	107	0	0	0	0	107
OG0000219	89	9	2	6	1	107
OG0000220	92	6	1	8	0	107
OG0000221	87	9	3	7	1	107
OG0000222	76	11	3	15	1	106
OG0000223	17	77	2	8	2	106
OG0000224	106	0	0	0	0	106
OG0000225	84	12	2	7	1	106
OG0000226	56	34	0	15	1	106
OG0000227	82	12	3	9	0	106
OG0000228	67	17	3	17	2	106
OG0000229	63	26	3	12	2	106
OG0000230	80	14	2	8	2	106
OG0000231	87	4	6	8	1	106
OG0000232	84	14	2	6	0	106
OG0000233	68	21	5	10	1	105
OG0000234	45	30	4	25	1	105
OG0000235	91	11	1	2	0	105
OG0000236	96	7	0	2	0	105
OG0000237	17	57	3	28	0	105
OG0000238	89	6	3	5	2	105
OG0000239	87	9	3	5	1	105
OG0000240	94	8	1	1	1	105
OG0000241	0	103	1	1	0	105
OG0000242	76	13	3	11	1	104
OG0000243	66	11	2	25	0	104
OG0000244	70	21	4	7	2	104
OG0000245	48	15	3	38	0	104
OG0000246	85	8	6	4	1	104
OG0000247	11	87	1	5	0	104
OG0000248	77	13	5	7	1	103
OG0000249	74	5	8	15	1	103
OG0000250	82	10	1	9	1	103
OG0000251	98	1	1	2	1	103
OG0000252	23	53	1	26	0	103
OG0000253	48	36	0	19	0	103
OG0000254	37	7	2	56	1	103
OG0000255	9	63	1	30	0	103
OG0000256	77	13	5	7	1	103
OG0000257	92	2	3	5	1	103
OG0000258	80	15	2	4	1	102
OG0000259	56	40	1	5	0	102
OG0000260	71	30	0	1	0	102
OG0000261	7	93	2	0	0	102
OG0000262	95	3	0	4	0	102
OG0000263	29	30	3	40	0	102
OG0000264	12	81	1	8	0	102
OG0000265	75	7	3	16	1	102
OG0000266	72	4	3	22	1	102
OG0000267	86	4	2	9	1	102
OG0000268	85	10	1	4	1	101
OG0000269	83	16	1	1	0	101
OG0000270	101	0	0	0	0	101
OG0000271	86	9	0	5	1	101
OG0000272	43	5	3	50	0	101
OG0000273	78	18	1	3	1	101
OG0000274	90	6	1	3	1	101
OG0000275	70	21	1	8	1	101
OG0000276	79	19	1	1	1	101
OG0000277	87	6	1	6	1	101
OG0000278	62	25	3	11	0	101
OG0000279	86	7	2	5	1	101
OG0000280	65	11	0	24	0	100
OG0000281	84	9	2	4	1	100
OG0000282	19	78	0	3	0	100
OG0000283	80	6	6	7	1	100
OG0000284	67	10	1	21	1	100
OG0000285	73	16	1	9	1	100
OG0000286	83	5	4	6	2	100
OG0000287	80	9	4	6	1	100
OG0000288	64	13	7	14	1	99
OG0000289	99	0	0	0	0	99
OG0000290	59	35	0	4	1	99
OG0000291	96	1	2	0	0	99
OG0000292	99	0	0	0	0	99
OG0000293	63	31	2	1	2	99
OG0000294	82	11	2	3	1	99
OG0000295	88	5	2	3	1	99
OG0000296	83	3	1	11	1	99
OG0000297	67	11	6	13	1	98
OG0000298	72	11	3	11	1	98
OG0000299	52	45	1	0	0	98
OG0000300	86	3	0	8	1	98
OG0000301	36	29	1	32	0	98
OG0000302	60	37	1	0	0	98
OG0000303	51	20	5	21	1	98
OG0000304	90	6	2	0	0	98
OG0000305	21	76	1	0	0	98
OG0000306	64	14	5	14	1	98
OG0000307	73	8	3	13	0	97
OG0000308	97	0	0	0	0	97
OG0000309	96	0	1	0	0	97
OG0000310	74	15	0	8	0	97
OG0000311	61	32	3	1	0	97
OG0000312	80	11	1	4	1	97
OG0000313	74	13	4	5	1	97
OG0000314	78	14	1	3	1	97
OG0000315	70	14	4	9	0	97
OG0000316	78	10	1	7	1	97
OG0000317	87	7	1	1	0	96
OG0000318	53	20	1	21	1	96
OG0000319	93	3	0	0	0	96
OG0000320	67	20	1	7	1	96
OG0000321	9	87	0	0	0	96
OG0000322	82	0	3	11	0	96
OG0000323	62	13	9	11	1	96
OG0000324	66	19	2	8	1	96
OG0000325	83	7	3	2	1	96
OG0000326	79	9	1	5	1	95
OG0000327	69	15	3	8	0	95
OG0000328	91	3	0	1	0	95
OG0000329	78	9	1	6	1	95
OG0000330	50	34	4	7	0	95
OG0000331	19	71	2	3	0	95
OG0000332	80	6	3	5	1	95
OG0000333	72	16	2	4	1	95
OG0000334	79	8	1	6	1	95
OG0000335	79	9	2	4	1	95
OG0000336	79	10	0	5	1	95
OG0000337	77	7	3	6	1	94
OG0000338	93	1	0	0	0	94
OG0000339	47	38	0	9	0	94
OG0000340	16	78	0	0	0	94
OG0000341	78	7	2	6	1	94
OG0000342	91	1	2	0	0	94
OG0000343	72	5	3	13	1	94
OG0000344	79	2	2	9	1	93
OG0000345	40	26	2	25	0	93
OG0000346	32	13	1	42	5	93
OG0000347	60	15	5	12	1	93
OG0000348	80	7	2	3	1	93
OG0000349	77	7	1	7	1	93
OG0000350	76	8	3	4	2	93
OG0000351	78	8	2	4	1	93
OG0000352	85	7	0	1	0	93
OG0000353	76	11	1	4	1	93
OG0000354	21	39	3	21	8	92
OG0000355	51	19	1	20	1	92
OG0000356	20	28	8	25	11	92
OG0000357	46	36	0	10	0	92
OG0000358	41	26	3	22	0	92
OG0000359	53	21	11	6	1	92
OG0000360	71	9	4	6	2	92
OG0000361	23	66	0	3	0	92
OG0000362	71	17	1	3	0	92
OG0000363	75	10	2	4	1	92
OG0000364	64	15	3	9	1	92
OG0000365	64	12	5	9	1	91
OG0000366	79	8	1	2	1	91
OG0000367	78	7	0	6	0	91
OG0000368	70	13	3	4	1	91
OG0000369	18	40	1	32	0	91
OG0000370	65	14	4	7	1	91
OG0000371	60	10	10	10	1	91
OG0000372	16	74	0	1	0	91
OG0000373	18	46	1	26	0	91
OG0000374	67	12	3	8	1	91
OG0000375	80	8	0	2	1	91
OG0000376	83	6	0	1	1	91
OG0000377	69	12	1	8	1	91
OG0000378	80	7	1	2	1	91
OG0000379	72	10	4	5	0	91
OG0000380	63	17	5	5	1	91
OG0000381	65	14	1	10	1	91
OG0000382	74	5	0	8	3	90
OG0000383	69	12	3	5	1	90
OG0000384	70	18	0	2	0	90
OG0000385	88	0	1	1	0	90
OG0000386	70	12	3	4	1	90
OG0000387	64	19	4	2	1	90
OG0000388	15	68	2	5	0	90
OG0000389	85	2	2	1	0	90
OG0000390	83	6	0	1	0	90
OG0000391	48	20	9	12	1	90
OG0000392	75	8	2	4	1	90
OG0000393	64	8	0	13	4	89
OG0000394	81	2	3	2	1	89
OG0000395	68	5	0	15	1	89
OG0000396	59	20	0	10	0	89
OG0000397	76	6	1	5	1	89
OG0000398	69	12	1	6	1	89
OG0000399	72	9	3	5	0	89
OG0000400	77	1	0	11	0	89
OG0000401	75	8	1	4	1	89
OG0000402	87	1	1	0	0	89
OG0000403	53	17	5	13	1	89
OG0000404	76	4	3	4	1	88
OG0000405	53	14	4	16	1	88
OG0000406	61	9	5	12	1	88
OG0000407	57	18	4	8	1	88
OG0000408	68	17	0	2	1	88
OG0000409	45	31	1	11	0	88
OG0000410	85	2	0	0	1	88
OG0000411	31	41	5	11	0	88
OG0000412	59	20	1	7	1	88
OG0000413	75	1	2	9	1	88
OG0000414	62	14	2	9	1	88
OG0000415	64	13	3	7	1	88
OG0000416	72	5	0	10	1	88
OG0000417	73	9	1	4	1	88
OG0000418	72	6	1	7	1	87
OG0000419	43	36	1	7	0	87
OG0000420	71	8	2	5	1	87
OG0000421	86	1	0	0	0	87
OG0000422	17	68	1	1	0	87
OG0000423	31	15	5	29	7	87
OG0000424	39	40	3	4	1	87
OG0000425	24	55	0	7	1	87
OG0000426	65	6	15	1	0	87
OG0000427	20	65	0	2	0	87
OG0000428	80	3	0	3	1	87
OG0000429	85	1	0	1	0	87
OG0000430	9	76	1	1	0	87
OG0000431	58	17	1	10	1	87
OG0000432	64	14	4	4	1	87
OG0000433	45	27	2	12	1	87
OG0000434	64	9	4	10	0	87
OG0000435	38	34	1	13	1	87
OG0000436	56	11	3	16	1	87
OG0000437	76	5	1	5	0	87
OG0000438	71	3	7	4	1	86
OG0000439	68	9	2	5	2	86
OG0000440	57	9	1	18	1	86
OG0000441	67	9	1	8	1	86
OG0000442	46	31	1	6	2	86
OG0000443	22	56	4	4	0	86
OG0000444	53	26	1	5	1	86
OG0000445	86	0	0	0	0	86
OG0000446	50	32	3	1	0	86
OG0000447	56	14	3	12	1	86
OG0000448	39	41	1	5	0	86
OG0000449	57	17	3	8	1	86
OG0000450	64	12	4	5	1	86
OG0000451	29	41	2	14	0	86
OG0000452	73	7	1	4	1	86
OG0000453	72	7	1	5	1	86
OG0000454	65	11	4	5	1	86
OG0000455	62	6	4	13	1	86
OG0000456	56	7	6	16	1	86
OG0000457	72	8	2	3	1	86
OG0000458	67	9	2	7	1	86
OG0000459	70	6	3	6	1	86
OG0000460	70	8	2	5	1	86
OG0000461	86	0	0	0	0	86
OG0000462	48	7	11	17	2	85
OG0000463	59	11	3	11	1	85
OG0000464	38	7	2	38	0	85
OG0000465	44	26	0	14	1	85
OG0000466	59	8	4	13	1	85
OG0000467	70	8	3	3	1	85
OG0000468	72	8	1	3	1	85
OG0000469	60	14	4	6	1	85
OG0000470	85	0	0	0	0	85
OG0000471	66	11	2	5	1	85
OG0000472	70	7	4	3	1	85
OG0000473	0	84	1	0	0	85
OG0000474	64	13	3	0	4	84
OG0000475	65	10	0	8	1	84
OG0000476	50	19	1	13	1	84
OG0000477	64	8	4	7	1	84
OG0000478	54	25	1	3	1	84
OG0000479	64	10	2	7	1	84
OG0000480	61	12	2	8	1	84
OG0000481	50	7	3	24	0	84
OG0000482	71	8	1	3	1	84
OG0000483	46	23	1	14	0	84
OG0000484	60	14	1	8	1	84
OG0000485	84	0	0	0	0	84
OG0000486	54	20	3	7	0	84
OG0000487	68	10	1	4	1	84
OG0000488	42	27	7	7	1	84
OG0000489	74	2	2	5	1	84
OG0000490	60	14	2	7	1	84
OG0000491	70	8	2	4	0	84
OG0000492	71	9	2	1	1	84
OG0000493	64	13	2	4	1	84
OG0000494	54	16	2	10	1	83
OG0000495	65	8	2	7	1	83
OG0000496	73	2	0	7	1	83
OG0000497	51	22	0	9	1	83
OG0000498	63	11	1	7	1	83
OG0000499	65	6	4	5	3	83
OG0000500	63	7	1	11	1	83
OG0000501	51	21	4	6	1	83
OG0000502	46	17	8	11	1	83
OG0000503	64	10	1	7	1	83
OG0000504	73	5	1	3	1	83
OG0000505	42	23	4	13	1	83
OG0000506	54	16	3	9	1	83
OG0000507	67	4	5	6	1	83
OG0000508	67	0	5	9	1	82
OG0000509	47	17	3	14	1	82
OG0000510	48	29	1	2	2	82
OG0000511	80	1	0	1	0	82
OG0000512	36	11	10	18	7	82
OG0000513	39	38	0	5	0	82
OG0000514	52	16	2	11	1	82
OG0000515	36	38	0	8	0	82
OG0000516	47	15	3	16	1	82
OG0000517	63	16	1	1	1	82
OG0000518	61	6	5	9	1	82
OG0000519	69	7	2	3	1	82
OG0000520	75	7	0	0	0	82
OG0000521	72	4	3	3	0	82
OG0000522	58	16	1	5	1	81
OG0000523	61	1	3	15	1	81
OG0000524	64	3	5	8	1	81
OG0000525	59	14	1	7	0	81
OG0000526	29	29	11	9	3	81
OG0000527	69	3	4	4	1	81
OG0000528	75	4	0	1	1	81
OG0000529	29	25	4	23	0	81
OG0000530	44	33	0	4	0	81
OG0000531	66	7	2	5	1	81
OG0000532	55	17	3	5	1	81
OG0000533	65	9	1	5	1	81
OG0000534	66	9	1	4	1	81
OG0000535	66	7	2	5	1	81
OG0000536	65	9	1	5	1	81
OG0000537	70	6	2	2	1	81
OG0000538	62	6	2	10	1	81
OG0000539	63	5	1	10	2	81
OG0000540	47	27	3	3	1	81
OG0000541	64	6	2	7	1	80
OG0000542	62	8	1	7	2	80
OG0000543	62	5	4	8	1	80
OG0000544	68	5	1	4	2	80
OG0000545	57	13	4	5	1	80
OG0000546	64	9	3	3	1	80
OG0000547	47	13	11	8	1	80
OG0000548	52	23	1	3	1	80
OG0000549	59	7	2	11	1	80
OG0000550	80	0	0	0	0	80
OG0000551	34	45	1	0	0	80
OG0000552	53	8	1	17	1	80
OG0000553	31	45	0	3	1	80
OG0000554	29	50	0	0	1	80
OG0000555	65	10	1	4	0	80
OG0000556	36	33	6	4	1	80
OG0000557	59	7	2	12	0	80
OG0000558	78	1	0	1	0	80
OG0000559	64	9	1	5	1	80
OG0000560	64	9	2	4	1	80
OG0000561	74	1	1	3	1	80
OG0000562	68	1	1	10	0	80
OG0000563	59	12	2	6	1	80
OG0000564	58	8	3	10	1	80
OG0000565	70	4	2	2	2	80
OG0000566	69	6	2	2	1	80
OG0000567	63	5	4	7	1	80
OG0000568	65	7	2	5	1	80
OG0000569	65	9	2	3	1	80
OG0000570	56	14	5	3	2	80
OG0000571	67	9	0	3	1	80
OG0000572	60	13	2	4	1	80
OG0000573	1	78	0	1	0	80
OG0000574	63	8	3	4	1	79
OG0000575	66	8	1	3	1	79
OG0000576	69	2	2	5	1	79
OG0000577	60	2	5	12	0	79
OG0000578	79	0	0	0	0	79
OG0000579	73	2	3	1	0	79
OG0000580	68	7	0	3	1	79
OG0000581	61	9	4	4	1	79
OG0000582	5	68	0	6	0	79
OG0000583	50	18	5	5	1	79
OG0000584	53	12	4	9	1	79
OG0000585	55	15	2	6	1	79
OG0000586	65	7	2	4	1	79
OG0000587	67	7	3	1	1	79
OG0000588	51	14	4	9	1	79
OG0000589	57	12	3	6	1	79
OG0000590	54	16	3	5	1	79
OG0000591	51	15	4	8	1	79
